"ENSEMBL_ID"	"Gene_Symbol"	"Gene_Length"	"CS52new.ISO_4"	"CS52old.ISO_4a"	"CS52old.ISO_4b"
"ENSG00000115486"	"GGCX"	9098	544	2252	3771
"ENSG00000118640"	"VAMP8"	990	4460	107	571
"ENSG00000276281"	"RN7SL126P"	299	0	0	0
"ENSG00000168899"	"VAMP5"	819	40	54	123
"ENSG00000168894"	"RNF181"	1220	573	429	546
"ENSG00000168890"	"TMEM150A"	3094	430	111	178
"ENSG00000168883"	"USP39"	3952	1103	1111	991
"ENSG00000168887"	"C2orf68"	4413	752	282	719
"ENSG00000168878"	"SFTPB"	4110	0	0	0
"ENSG00000115523"	"GNLY"	3051	2	3	2
"ENSG00000203363"	"AC012454.1"	995	0	1	0
"ENSG00000199687"	"RNU1-38P"	144	0	0	1
"ENSG00000168874"	"ATOH8"	6076	8	18	27
"ENSG00000278783"	"MIR6071"	78	0	0	0
"ENSG00000229498"	"AC105053.1"	1711	0	0	1
"ENSG00000252321"	"RN7SKP83"	178	0	0	0
"ENSG00000115525"	"ST3GAL5"	16318	775	675	739
"ENSG00000232504"	"ST3GAL5-AS1"	783	13	1	8
"ENSG00000272564"	"AC012511.1"	449	4	0	3
"ENSG00000068654"	"POLR1A"	13519	1786	827	1041
"ENSG00000132300"	"PTCD3"	10164	1662	1215	1875
"ENSG00000208772"	"SNORD94"	137	3	7	5
"ENSG00000132305"	"IMMT"	3986	3722	1752	2035
"ENSG00000200241"	"RF00019"	111	0	0	0
"ENSG00000265420"	"MIR4779"	83	0	0	0
"ENSG00000273080"	"AC009309.1"	460	2	2	10
"ENSG00000132313"	"MRPL35"	3829	1120	345	614
"ENSG00000068615"	"REEP1"	5846	72	160	230
"ENSG00000202537"	"RF00096"	134	0	0	0
"ENSG00000251974"	"RF00413"	130	0	0	0
"ENSG00000115548"	"KDM3A"	13423	2438	2651	2631
"ENSG00000115561"	"CHMP3"	7018	1295	1075	1765
"ENSG00000249884"	"RNF103-CHMP3"	1503	1	0	0
"ENSG00000200563"	"RNU6-640P"	105	2	0	0
"ENSG00000228363"	"AC015971.1"	2860	7	6	8
"ENSG00000239305"	"RNF103"	7599	596	1130	1193
"ENSG00000153561"	"RMND5A"	6804	1946	2216	2126
"ENSG00000153563"	"CD8A"	3634	0	1	0
"ENSG00000172116"	"CD8B"	1864	0	0	0
"ENSG00000233673"	"ANAPC1P1"	2553	0	0	0
"ENSG00000213605"	"AC111200.1"	657	0	0	0
"ENSG00000187627"	"RGPD1"	7166	0	0	0
"ENSG00000231351"	"AC111200.2"	505	0	0	0
"ENSG00000226114"	"NDUFB4P5"	361	0	0	0
"ENSG00000183281"	"PLGLB1"	3220	2	6	5
"ENSG00000285793"	"AC125232.2"	2217	6	10	11
"ENSG00000231259"	"AC125232.1"	1331	0	0	0
"ENSG00000266931"	"AC092651.2"	285	0	0	0
"ENSG00000230395"	"AC092651.1"	312	0	0	0
"ENSG00000204745"	"AC083899.1"	3795	23	18	11
"ENSG00000264793"	"MIR4771-1"	74	0	0	0
"ENSG00000233671"	"AC083899.2"	1376	0	0	1
"ENSG00000281477"	"LINC01955"	792	0	0	0
"ENSG00000271097"	"AC083899.3"	594	0	0	0
"ENSG00000233999"	"IGKV3OR2-268"	350	0	0	0
"ENSG00000224881"	"AC068279.1"	888	0	0	0
"ENSG00000280721"	"LINC01943"	1475	0	1	1
"ENSG00000222041"	"CYTOR"	17693	166	220	111
"ENSG00000284879"	"AC133644.3"	3849	0	2	1
"ENSG00000273445"	"AC133644.2"	540	0	0	1
"ENSG00000214354"	"AC133644.1"	937	0	0	0
"ENSG00000265507"	"MIR4435-1"	80	0	0	0
"ENSG00000225933"	"AC133965.1"	354	1	1	0
"ENSG00000234231"	"AC093616.1"	2070	1	0	0
"ENSG00000125551"	"PLGLB2"	2254	2	1	1
"ENSG00000185304"	"RGPD2"	7023	29	55	77
"ENSG00000229604"	"MTATP8P2"	202	0	0	0
"ENSG00000225428"	"NDUFB4P7"	363	0	0	0
"ENSG00000233205"	"AC108479.1"	427	1	0	1
"ENSG00000275597"	"AC108479.2"	601	0	0	0
"ENSG00000222724"	"RNU2-63P"	194	0	1	0
"ENSG00000172086"	"KRCC1"	1753	624	326	846
"ENSG00000115593"	"SMYD1"	4600	1	0	0
"ENSG00000265003"	"MIR4780"	81	0	0	0
"ENSG00000163586"	"FABP1"	2470	0	0	0
"ENSG00000144115"	"THNSL2"	6431	54	154	300
"ENSG00000232508"	"MRPL45P1"	914	0	0	0
"ENSG00000283262"	"RF00026"	70	0	0	0
"ENSG00000212133"	"RNU6-1168P"	104	0	0	0
"ENSG00000252395"	"RNU6-1007P"	107	0	0	0
"ENSG00000224291"	"AC012671.1"	203	0	0	0
"ENSG00000214336"	"FOXI3"	2804	0	0	0
"ENSG00000172073"	"TEX37"	795	0	0	0
"ENSG00000225420"	"AC104134.1"	1747	3	10	1
"ENSG00000172071"	"EIF2AK3"	5434	623	2148	1419
"ENSG00000234028"	"AC062029.1"	4283	5	25	83
"ENSG00000153574"	"RPIA"	1848	435	120	157
"ENSG00000230006"	"ANKRD36BP2"	8042	1	0	1
"ENSG00000283270"	"AC244205.2"	1021	0	0	0
"ENSG00000240040"	"AC244205.1"	705	0	0	0
"ENSG00000265510"	"MIR4436A"	85	0	0	0
"ENSG00000211592"	"IGKC"	523	21	0	0
"ENSG00000211593"	"IGKJ5"	38	1	0	0
"ENSG00000211594"	"IGKJ4"	37	1	0	0
"ENSG00000211595"	"IGKJ3"	38	0	0	0
"ENSG00000211596"	"IGKJ2"	39	0	0	0
"ENSG00000211597"	"IGKJ1"	38	2	0	0
"ENSG00000211598"	"IGKV4-1"	538	0	0	0
"ENSG00000211599"	"IGKV5-2"	408	0	0	0
"ENSG00000197794"	"IGKV7-3"	298	0	0	0
"ENSG00000225136"	"PGBD4P5"	426	0	0	0
"ENSG00000253435"	"IGKV2-4"	340	0	0	0
"ENSG00000243466"	"IGKV1-5"	532	0	0	0
"ENSG00000239855"	"IGKV1-6"	380	0	0	0
"ENSG00000243063"	"IGKV3-7"	445	0	0	0
"ENSG00000240671"	"IGKV1-8"	398	0	0	0
"ENSG00000241755"	"IGKV1-9"	409	0	0	0
"ENSG00000253278"	"IGKV2-10"	351	0	0	0
"ENSG00000241351"	"IGKV3-11"	392	0	0	0
"ENSG00000243290"	"IGKV1-12"	398	0	0	0
"ENSG00000253497"	"IGKV1-13"	347	0	0	0
"ENSG00000253265"	"IGKV2-14"	347	0	0	0
"ENSG00000244437"	"IGKV3-15"	442	0	0	0
"ENSG00000240864"	"IGKV1-16"	378	0	0	0
"ENSG00000240382"	"IGKV1-17"	378	0	0	0
"ENSG00000254157"	"IGKV2-18"	343	0	0	0
"ENSG00000253732"	"IGKV2-19"	283	0	0	0
"ENSG00000239951"	"IGKV3-20"	400	0	0	0
"ENSG00000211611"	"IGKV6-21"	406	0	0	0
"ENSG00000253578"	"IGKV1-22"	326	0	0	0
"ENSG00000253625"	"IGKV2-23"	323	0	0	0
"ENSG00000241294"	"IGKV2-24"	390	0	0	0
"ENSG00000253202"	"IGKV3-25"	253	0	0	0
"ENSG00000254098"	"IGKV2-26"	343	0	0	0
"ENSG00000277852"	"AC244255.1"	398	0	0	0
"ENSG00000244575"	"IGKV1-27"	382	0	0	0
"ENSG00000244116"	"IGKV2-28"	390	0	0	0
"ENSG00000253998"	"IGKV2-29"	372	0	0	0
"ENSG00000243238"	"IGKV2-30"	390	0	0	0
"ENSG00000253158"	"IGKV3-31"	329	0	0	0
"ENSG00000253870"	"IGKV1-32"	311	0	0	0
"ENSG00000242076"	"IGKV1-33"	421	0	0	0
"ENSG00000253860"	"IGKV3-34"	293	0	0	0
"ENSG00000253461"	"IGKV1-35"	285	0	0	0
"ENSG00000253487"	"IGKV2-36"	223	0	0	0
"ENSG00000239862"	"IGKV1-37"	398	0	0	0
"ENSG00000253592"	"IGKV2-38"	247	0	0	0
"ENSG00000242371"	"IGKV1-39"	398	0	0	0
"ENSG00000273962"	"IGKV2-40"	320	0	0	0
"ENSG00000283427"	"AC006453.4"	1252	0	0	0
"ENSG00000283196"	"AC006453.2"	2414	8	14	14
"ENSG00000276861"	"RF00001"	110	0	0	0
"ENSG00000283132"	"AC006453.1"	1257	0	0	0
"ENSG00000283214"	"AC006453.3"	377	0	0	0
"ENSG00000283659"	"AC006453.5"	619	0	0	0
"ENSG00000251039"	"IGKV2D-40"	336	0	0	0
"ENSG00000251546"	"IGKV1D-39"	376	0	0	0
"ENSG00000254009"	"IGKV2D-38"	240	0	0	0
"ENSG00000250036"	"IGKV1D-37"	353	0	0	0
"ENSG00000253127"	"IGKV2D-36"	226	0	0	0
"ENSG00000232747"	"IGKV1D-35"	271	0	0	0
"ENSG00000253501"	"IGKV3D-34"	302	0	0	0
"ENSG00000239975"	"IGKV1D-33"	479	0	0	0
"ENSG00000253191"	"IGKV1D-32"	318	0	0	0
"ENSG00000253999"	"IGKV3D-31"	281	0	0	0
"ENSG00000239571"	"IGKV2D-30"	395	0	0	0
"ENSG00000243264"	"IGKV2D-29"	400	0	0	0
"ENSG00000242534"	"IGKV2D-28"	402	0	0	0
"ENSG00000224607"	"IGKV1D-27"	335	0	0	0
"ENSG00000211623"	"IGKV2D-26"	390	0	0	0
"ENSG00000254097"	"IGKV3D-25"	235	0	0	0
"ENSG00000241566"	"IGKV2D-24"	390	0	0	0
"ENSG00000254345"	"IGKV2D-23"	286	0	0	0
"ENSG00000253365"	"IGKV1D-22"	324	0	0	0
"ENSG00000225523"	"IGKV6D-21"	409	0	0	0
"ENSG00000211625"	"IGKV3D-20"	445	0	0	0
"ENSG00000253765"	"IGKV2D-19"	262	0	0	0
"ENSG00000254220"	"IGKV2D-18"	375	0	0	0
"ENSG00000211626"	"IGKV6D-41"	371	0	0	0
"ENSG00000242766"	"IGKV1D-17"	532	0	0	0
"ENSG00000241244"	"IGKV1D-16"	378	0	0	0
"ENSG00000224041"	"IGKV3D-15"	396	0	0	0
"ENSG00000254292"	"IGKV2D-14"	355	0	0	0
"ENSG00000276566"	"IGKV1D-13"	376	0	0	0
"ENSG00000278857"	"IGKV1D-12"	371	0	0	0
"ENSG00000211632"	"IGKV3D-11"	444	0	0	0
"ENSG00000253906"	"IGKV2D-10"	281	0	0	0
"ENSG00000211633"	"IGKV1D-42"	373	0	0	0
"ENSG00000242580"	"IGKV1D-43"	532	0	0	0
"ENSG00000239819"	"IGKV1D-8"	534	0	0	0
"ENSG00000228325"	"IGKV3D-7"	384	0	0	0
"ENSG00000275490"	"AC233263.2"	104	0	0	0
"ENSG00000270999"	"IGKV1OR2-118"	347	0	0	0
"ENSG00000265897"	"AC233263.1"	224	0	0	0
"ENSG00000281904"	"AC233263.6"	1963	0	0	0
"ENSG00000230964"	"AC233266.1"	96	0	0	0
"ENSG00000261600"	"AC233266.2"	528	0	1	1
"ENSG00000278131"	"AC116050.1"	1779	0	0	0
"ENSG00000143429"	"LSP1P4"	3057	9	35	28
"ENSG00000222835"	"RNA5SP100"	110	0	0	0
"ENSG00000184303"	"DRD5P1"	1438	0	0	0
"ENSG00000230572"	"AC027612.2"	1532	0	0	0
"ENSG00000271627"	"AC027612.4"	583	0	0	0
"ENSG00000223703"	"AC027612.1"	2395	0	0	0
"ENSG00000232531"	"AC027612.3"	1047	0	0	0
"ENSG00000236969"	"GGT8P"	532	0	0	0
"ENSG00000235235"	"IGKV1OR2-1"	354	0	0	0
"ENSG00000214330"	"ABCD1P5"	754	0	0	0
"ENSG00000237085"	"AC127391.1"	98	0	0	0
"ENSG00000227497"	"PABPC1P6"	1829	0	0	0
"ENSG00000214329"	"SLC9B1P2"	1184	0	0	0
"ENSG00000226481"	"ACTR3BP2"	1373	0	0	0
"ENSG00000234898"	"CHEK2P3"	248	0	0	0
"ENSG00000235147"	"AC128677.1"	442	0	0	0
"ENSG00000223816"	"IGKV1OR2-2"	355	0	0	0
"ENSG00000261522"	"AL845331.3"	2028	0	0	0
"ENSG00000259916"	"AL845331.2"	1044	0	0	0
"ENSG00000237383"	"CNN2P11"	262	0	0	0
"ENSG00000227265"	"AL845331.1"	1190	0	0	0
"ENSG00000213355"	"CNN2P8"	913	0	0	0
"ENSG00000234837"	"AC073464.2"	712	0	0	0
"ENSG00000223564"	"CYP4F32P"	504	0	0	0
"ENSG00000232502"	"AC073464.1"	343	0	0	0
"ENSG00000235571"	"SNX18P14"	574	0	0	0
"ENSG00000229089"	"ANKRD20A8P"	8020	2	0	0
"ENSG00000212140"	"RNU6-1320P"	107	0	0	0
"ENSG00000278631"	"AC097374.2"	1306	0	0	0
"ENSG00000259848"	"AC097374.1"	7136	0	0	0
"ENSG00000163060"	"TEKT4"	2218	0	0	0
"ENSG00000237055"	"MTCO1P48"	1096	0	0	0
"ENSG00000232128"	"MTCO3P45"	613	0	0	0
"ENSG00000233158"	"RPS24P6"	400	0	0	0
"ENSG00000231331"	"AC103563.3"	354	0	0	0
"ENSG00000232594"	"AC103563.4"	368	0	0	0
"ENSG00000233105"	"AC103563.5"	364	0	0	0
"ENSG00000224585"	"AC103563.1"	123	0	0	0
"ENSG00000233447"	"AC103563.6"	295	0	0	0
"ENSG00000235186"	"AC103563.8"	318	0	0	0
"ENSG00000277591"	"RN7SL575P"	299	0	0	0
"ENSG00000233850"	"AC103563.7"	478	0	0	0
"ENSG00000172005"	"MAL"	1457	1	0	0
"ENSG00000231062"	"AC103563.2"	597	0	0	0
"ENSG00000144029"	"MRPS5"	6719	1288	926	1043
"ENSG00000144026"	"ZNF514"	6813	422	419	1009
"ENSG00000275111"	"ZNF2"	3996	94	106	138
"ENSG00000275768"	"SLC2AXP1"	909	0	0	0
"ENSG00000233757"	"AC092835.1"	2304	18	29	47
"ENSG00000155066"	"PROM2"	6063	1	21	18
"ENSG00000115041"	"KCNIP3"	7870	4	85	176
"ENSG00000235129"	"FABP7P2"	379	0	0	0
"ENSG00000115042"	"FAHD2A"	5665	251	207	343
"ENSG00000248821"	"AC009238.3"	217	0	0	0
"ENSG00000233275"	"AC009238.2"	355	0	0	0
"ENSG00000227120"	"AC009238.1"	424	0	0	0
"ENSG00000204705"	"UBTFL5"	1191	0	0	0
"ENSG00000277747"	"AC133104.2"	193	0	0	0
"ENSG00000234903"	"AC133104.1"	218	0	0	0
"ENSG00000144010"	"TRIM43B"	1668	0	0	1
"ENSG00000238162"	"AC009237.11"	265	0	0	0
"ENSG00000223917"	"AC009237.1"	744	0	0	0
"ENSG00000237308"	"AC009237.10"	510	0	0	0
"ENSG00000224719"	"AC009237.2"	284	0	0	0
"ENSG00000226185"	"TRIM64FP"	1371	0	0	0
"ENSG00000272913"	"AC009237.14"	1594	0	0	0
"ENSG00000229689"	"AC009237.3"	4978	0	0	0
"ENSG00000236431"	"AC009237.8"	379	0	0	0
"ENSG00000273305"	"AC009237.15"	501	0	0	0
"ENSG00000233037"	"AC009237.5"	501	0	0	0
"ENSG00000168992"	"OR7E102P"	1015	0	0	0
"ENSG00000232717"	"TRIM51JP"	1317	0	0	5
"ENSG00000274028"	"AC009237.16"	506	0	0	0
"ENSG00000230083"	"AC009237.4"	238	0	0	0
"ENSG00000144015"	"TRIM43"	1682	0	1	0
"ENSG00000236026"	"AC009237.7"	229	0	0	0
"ENSG00000271003"	"AC009237.13"	276	0	0	0
"ENSG00000270193"	"AC009237.12"	742	0	0	0
"ENSG00000204699"	"UBTFL3"	1024	0	0	0
"ENSG00000275497"	"AC009237.17"	748	0	0	0
"ENSG00000235959"	"AC009237.6"	424	0	0	0
"ENSG00000236750"	"AC009237.9"	347	0	0	0
"ENSG00000235584"	"AC008268.1"	1119	0	1	0
"ENSG00000237510"	"GPAT2P1"	2245	0	0	0
"ENSG00000232931"	"LINC00342"	2618	538	133	360
"ENSG00000174501"	"ANKRD36C"	8574	968	394	713
"ENSG00000275961"	"RN7SL210P"	288	0	0	0
"ENSG00000231584"	"FAHD2CP"	2140	22	27	71
"ENSG00000186281"	"GPAT2"	5684	0	0	0
"ENSG00000274286"	"ADRA2B"	3371	0	2	0
"ENSG00000188886"	"ASTL"	1654	3	1	0
"ENSG00000158050"	"DUSP2"	1932	178	106	24
"ENSG00000228873"	"AC012307.1"	197	0	0	0
"ENSG00000084090"	"STARD7"	4414	5263	1579	2399
"ENSG00000204685"	"STARD7-AS1"	2349	104	32	60
"ENSG00000135956"	"TMEM127"	6367	2730	865	1198
"ENSG00000144021"	"CIAO1"	4031	2519	1061	1607
"ENSG00000144028"	"SNRNP200"	10926	6136	4607	6161
"ENSG00000230747"	"AC021188.1"	740	14	0	0
"ENSG00000198885"	"ITPRIPL1"	4652	195	16	31
"ENSG00000121152"	"NCAPH"	3278	256	58	121
"ENSG00000163121"	"NEURL3"	2497	9	1	2
"ENSG00000235480"	"AC013270.1"	440	2	0	0
"ENSG00000196843"	"ARID5A"	3565	1893	141	149
"ENSG00000114982"	"KANSL3"	9015	1816	755	984
"ENSG00000249715"	"FER1L5"	10475	0	31	86
"ENSG00000114988"	"LMAN2L"	2709	388	335	524
"ENSG00000158158"	"CNNM4"	5105	431	235	240
"ENSG00000264157"	"MIR3127"	76	0	0	0
"ENSG00000273265"	"CNNM3-DT"	415	2	2	3
"ENSG00000168763"	"CNNM3"	4416	214	386	317
"ENSG00000163126"	"ANKRD23"	4116	23	6	16
"ENSG00000213337"	"ANKRD39"	5330	91	23	43
"ENSG00000168758"	"SEMA4C"	6157	2007	846	723
"ENSG00000168754"	"FAM178B"	3545	3	1	14
"ENSG00000274206"	"RF00017"	281	0	0	0
"ENSG00000252845"	"RNA5SP101"	108	0	0	0
"ENSG00000275094"	"AC079395.3"	484	0	0	0
"ENSG00000273634"	"AC079395.2"	737	0	0	0
"ENSG00000248134"	"AC079395.1"	262	0	0	0
"ENSG00000144188"	"TRIM43CP"	1028	0	0	0
"ENSG00000230343"	"AC018892.1"	265	0	0	0
"ENSG00000236847"	"AC018892.2"	693	0	0	0
"ENSG00000270748"	"IGKV2OR2-1"	304	0	0	0
"ENSG00000271402"	"IGKV2OR2-2"	300	0	0	0
"ENSG00000204670"	"IGKV1OR2-3"	288	0	0	0
"ENSG00000188383"	"GPAT2P2"	863	0	0	0
"ENSG00000144199"	"FAHD2B"	2662	10	67	117
"ENSG00000279791"	"AC018892.3"	2499	0	0	0
"ENSG00000275655"	"RN7SL313P"	288	0	0	0
"ENSG00000135976"	"ANKRD36"	9479	374	366	575
"ENSG00000277701"	"AC159540.2"	3067	0	0	0
"ENSG00000237837"	"AC159540.1"	555	0	0	0
"ENSG00000271351"	"IGKV1OR2-9"	287	0	0	0
"ENSG00000276050"	"IGKV2OR2-10"	311	0	0	0
"ENSG00000271015"	"IGKV2OR2-7D"	304	0	0	0
"ENSG00000270252"	"IGKV3OR2-5"	281	0	0	0
"ENSG00000271569"	"IGKV1OR2-6"	277	0	0	0
"ENSG00000270450"	"IGKV2OR2-7"	304	0	0	0
"ENSG00000278537"	"IGKV2OR2-8"	300	0	0	0
"ENSG00000270187"	"IGKV1OR2-11"	287	0	0	0
"ENSG00000230606"	"AC092683.1"	5278	17	15	25
"ENSG00000278766"	"AC092683.2"	1295	0	0	1
"ENSG00000196912"	"ANKRD36B"	6771	135	132	232
"ENSG00000235833"	"AC017099.1"	1028	0	0	0
"ENSG00000228970"	"UBTFL6"	1024	0	0	0
"ENSG00000135940"	"COX5B"	1441	1346	689	822
"ENSG00000115073"	"ACTR1B"	2892	666	653	925
"ENSG00000228486"	"C2orf92"	6501	76	75	106
"ENSG00000201806"	"RNU4-8P"	141	0	0	0
"ENSG00000115085"	"ZAP70"	5111	2	2	3
"ENSG00000075568"	"TMEM131"	12985	3202	3035	4033
"ENSG00000235734"	"HMGN1P36"	298	6	0	1
"ENSG00000238719"	"RNU7-96P"	64	0	0	0
"ENSG00000168658"	"VWA3B"	8307	1	1	0
"ENSG00000231635"	"ATP5F1BP1"	1574	0	0	0
"ENSG00000222000"	"AC092675.1"	1164	0	0	0
"ENSG00000144191"	"CNGA3"	4378	0	0	0
"ENSG00000227987"	"AC092675.2"	541	0	0	0
"ENSG00000040933"	"INPP4A"	13187	2354	549	1009
"ENSG00000183513"	"COA5"	2760	629	356	777
"ENSG00000115446"	"UNC50"	2230	789	788	1339
"ENSG00000071073"	"MGAT4A"	9630	7123	323	925
"ENSG00000236564"	"YWHAQP5"	1382	0	0	0
"ENSG00000226791"	"AC109826.1"	2101	468	0	2
"ENSG00000201070"	"RNU4-84P"	139	0	0	0
"ENSG00000196872"	"KIAA1211L"	4705	196	5	15
"ENSG00000238830"	"RNU7-46P"	62	0	0	0
"ENSG00000135951"	"TSGA10"	7375	338	49	129
"ENSG00000231822"	"AC019097.1"	735	2	0	0
"ENSG00000273045"	"C2orf15"	2098	38	11	14
"ENSG00000241962"	"AC079447.1"	1993	3	0	3
"ENSG00000144182"	"LIPT1"	2279	157	72	241
"ENSG00000273155"	"AC092587.1"	669	0	0	0
"ENSG00000158411"	"MITD1"	4305	905	313	520
"ENSG00000185414"	"MRPL30"	2898	787	437	740
"ENSG00000185674"	"LYG2"	1206	0	4	1
"ENSG00000144214"	"LYG1"	1093	25	12	14
"ENSG00000115514"	"TXNDC9"	2816	789	407	638
"ENSG00000158417"	"EIF5B"	7883	6212	4944	5162
"ENSG00000135945"	"REV1"	7769	1292	1567	1436
"ENSG00000273306"	"AC018690.1"	626	12	16	14
"ENSG00000144218"	"AFF3"	12737	7	1032	1636
"ENSG00000230393"	"AC092667.1"	2586	0	1	10
"ENSG00000232084"	"LINC01104"	3370	0	0	0
"ENSG00000170500"	"LONRF2"	13933	0	161	242
"ENSG00000269383"	"AC012493.2"	291	0	0	0
"ENSG00000270699"	"AC012493.3"	112	0	0	0
"ENSG00000115526"	"CHST10"	4487	351	111	223
"ENSG00000238029"	"AC012493.1"	760	0	0	0
"ENSG00000204640"	"NMS"	485	0	0	0
"ENSG00000204637"	"AC068538.1"	336	0	0	0
"ENSG00000115539"	"PDCL3"	1831	545	87	112
"ENSG00000227259"	"HMGN2P22"	175	1	0	0
"ENSG00000234988"	"LINC01849"	654	0	0	0
"ENSG00000226034"	"NANOGNBP1"	480	0	0	0
"ENSG00000234169"	"LINC01868"	562	0	0	0
"ENSG00000228488"	"AC092168.1"	236	0	0	0
"ENSG00000170485"	"NPAS2"	12491	24	1218	544
"ENSG00000232034"	"AC092168.2"	717	0	4	0
"ENSG00000230140"	"AC016738.2"	939	0	0	1
"ENSG00000223947"	"AC016738.1"	3485	0	2	1
"ENSG00000071082"	"RPL31"	5791	13754	19520	23535
"ENSG00000204634"	"TBC1D8"	6030	1534	197	276
"ENSG00000271532"	"BBIP1P1"	279	0	0	0
"ENSG00000272902"	"TBC1D8-AS1"	2478	12	1	12
"ENSG00000158435"	"CNOT11"	2786	1231	832	1189
"ENSG00000163162"	"RNF149"	4836	3050	1150	1336
"ENSG00000212283"	"SNORD89"	114	18	2	7
"ENSG00000264857"	"MIR5696"	85	1	0	0
"ENSG00000175874"	"CREG2"	7150	43	3	12
"ENSG00000226058"	"AC092570.1"	469	0	0	0
"ENSG00000196460"	"RFX8"	2854	5	0	2
"ENSG00000223826"	"LINC01870"	390	0	0	0
"ENSG00000237549"	"AC092570.3"	693	0	0	0
"ENSG00000232556"	"AC092570.2"	1143	0	0	0
"ENSG00000071054"	"MAP4K4"	11961	6282	6751	6529
"ENSG00000281162"	"LINC01127"	3841	0	0	0
"ENSG00000115590"	"IL1R2"	3073	7	1	0
"ENSG00000115594"	"IL1R1"	7083	23	2239	2708
"ENSG00000226925"	"IL1R1-AS1"	382	0	0	0
"ENSG00000115598"	"IL1RL2"	2644	1	0	0
"ENSG00000205716"	"FAM183DP"	399	0	0	0
"ENSG00000115602"	"IL1RL1"	5746	2	514	69
"ENSG00000115604"	"IL18R1"	4353	112	239	369
"ENSG00000236785"	"SDR42E1P5"	866	0	0	0
"ENSG00000115607"	"IL18RAP"	2966	4	19	6
"ENSG00000264764"	"MIR4772"	78	0	0	0
"ENSG00000236525"	"AC007278.2"	1200	0	1	0
"ENSG00000234389"	"AC007278.1"	1327	0	2	0
"ENSG00000180251"	"SLC9A4"	4478	0	0	0
"ENSG00000115616"	"SLC9A2"	5984	0	2	2
"ENSG00000135953"	"MFSD9"	4367	312	164	211
"ENSG00000170417"	"TMEM182"	6071	84	104	154
"ENSG00000277527"	"LINC01796"	709	0	0	0
"ENSG00000224095"	"LINC01935"	437	0	0	0
"ENSG00000227680"	"AC108051.1"	549	0	0	0
"ENSG00000229209"	"AC073987.1"	638	0	0	0
"ENSG00000227623"	"AC010881.1"	235	0	0	0
"ENSG00000236596"	"AC092568.1"	1284	0	0	0
"ENSG00000221849"	"AC018880.1"	1319	0	0	0
"ENSG00000231723"	"AC018880.2"	201	0	0	0
"ENSG00000232597"	"AC013727.1"	1221	0	0	0
"ENSG00000236141"	"AC013727.2"	545	0	0	0
"ENSG00000256637"	"LINC01965"	2479	0	0	0
"ENSG00000273515"	"RF02091"	187	0	0	0
"ENSG00000228968"	"AC096554.1"	529	0	0	0
"ENSG00000233955"	"AHCYP3"	1279	0	0	0
"ENSG00000227157"	"AC068535.1"	471	0	0	0
"ENSG00000225765"	"LINC01831"	493	0	0	0
"ENSG00000235597"	"LINC01102"	5098	0	0	0
"ENSG00000234781"	"LINC01103"	1457	0	0	0
"ENSG00000231626"	"AC013402.2"	437	0	0	0
"ENSG00000236109"	"AC013402.3"	451	0	0	0
"ENSG00000230690"	"AC013402.1"	561	0	0	0
"ENSG00000225669"	"RPL23AP27"	451	0	0	0
"ENSG00000228528"	"AC068057.1"	709	0	2	3
"ENSG00000279904"	"AC068057.2"	895	0	0	0
"ENSG00000207249"	"RF00139"	129	0	0	0
"ENSG00000234177"	"LINC01114"	3751	0	0	0
"ENSG00000213301"	"HMGB3P11"	604	0	0	0
"ENSG00000233639"	"PANTR1"	844	0	0	0
"ENSG00000269707"	"AC018730.2"	443	0	0	1
"ENSG00000198914"	"POU3F3"	3064	0	2	1
"ENSG00000239587"	"AC018730.1"	327	0	0	0
"ENSG00000229743"	"LINC01159"	3351	0	0	0
"ENSG00000224509"	"AC010884.1"	642	0	0	0
"ENSG00000135972"	"MRPS9"	1915	652	385	545
"ENSG00000231851"	"UTAT33"	609	2	3	0
"ENSG00000226508"	"LINC01918"	1009	0	0	0
"ENSG00000135973"	"GPR45"	1307	1	0	0
"ENSG00000272861"	"AC012360.2"	391	14	0	0
"ENSG00000135966"	"TGFBRAP1"	6005	1543	1130	986
"ENSG00000235319"	"AC012360.1"	674	1	0	1
"ENSG00000272994"	"AC012360.3"	3449	55	39	76
"ENSG00000135974"	"C2orf49"	4768	417	814	1166
"ENSG00000115641"	"FHL2"	6626	41	165	71
"ENSG00000238273"	"AC108058.1"	2609	0	2	1
"ENSG00000071051"	"NCK2"	2990	662	954	905
"ENSG00000235522"	"AC010978.1"	2166	2	2	5
"ENSG00000234162"	"AC009505.1"	491	0	0	0
"ENSG00000119147"	"C2orf40"	1741	0	47	74
"ENSG00000115652"	"UXS1"	7023	1362	925	939
"ENSG00000233339"	"AC018878.1"	433	0	0	0
"ENSG00000273595"	"AC092106.2"	722	0	0	1
"ENSG00000213295"	"RPL22P10"	373	0	0	0
"ENSG00000224061"	"AC092106.1"	487	0	0	0
"ENSG00000230353"	"AC114755.3"	251	0	0	0
"ENSG00000233939"	"AC114755.4"	443	0	0	0
"ENSG00000227513"	"AC114755.1"	868	0	0	0
"ENSG00000229682"	"AC114755.2"	361	0	0	0
"ENSG00000235486"	"AC114755.5"	831	0	0	0
"ENSG00000240935"	"PLGLA"	991	1	0	0
"ENSG00000153165"	"RGPD3"	5818	0	1	0
"ENSG00000237666"	"AC097527.1"	530	0	0	0
"ENSG00000254126"	"CD8B2"	5140	0	0	0
